194 | ESCOLA DE ENFERMAGEM DA FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
195 | FACULDADE MORAES JÚNIOR - MACKENZIE RIO | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
197 | INSTITUTO DE CIÊNCIAS SOCIAIS DO PARANÁ | 4 | Privada | 2 | Privada | PR | 41 | 4106902 | ATIVA
198 | CENTRO UNIVERSITÁRIO DA CIDADE | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
199 | FACULDADE SÃO LUÍS | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
200 | FACULDADE CÁSPER LÍBERO | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
201 | FACULDADE BRASILEIRA DE CIÊNCIAS JURÍDICAS | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
202 | FACULDADE DE ECONOMIA E FINANÇAS DO RIO DE JANEIRO | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
203 | UNIVERSIDADE SÃO JUDAS TADEU | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
206 | CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
207 | CENTRO UNIVERSITÁRIO MOURA LACERDA | 4 | Privada | 2 | Privada | SP | 35 | 3543402 | ATIVA
208 | UNIVERSIDADE DE RIBEIRÃO PRETO | 4 | Privada | 2 | Privada | SP | 35 | 3543402 | ATIVA
210 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS | 4 | Privada | 2 | Privada | SP | 35 | 3547809 | EXTINTA
211 | FACULDADE DE CIÊNCIAS ECONÔMICAS E ADMINISTRATIVAS | 4 | Privada | 2 | Privada | SP | 35 | 3547809 | EXTINTA
212 | FACULDADE DE FILOSOFIA DE CAMPO GRANDE | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | EXTINTA
213 | CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
214 | FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG | 4 | Privada | 2 | Privada | MG | 31 | 3106200 | ATIVA
215 | UNIVERSIDADE DO GRANDE ABC | 4 | Privada | 2 | Privada | SP | 35 | 3547809 | ATIVA
216 | CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX | 4 | Privada | 2 | Privada | MG | 31 | 3106200 | ATIVA
217 | CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE | 3 | Municipal | 1 | Pública | SP | 35 | 3549102 | ATIVA
218 | FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE DUQUE DE CAXIAS | 4 | Privada | 2 | Privada | RJ | 33 | 3301702 | ATIVA
219 | FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL | 4 | Privada | 2 | Privada | SP | 35 | 3531407 | ATIVA
220 | FACULDADE SÃO JUDAS TADEU | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
221 | UNIVERSIDADE CRUZEIRO DO SUL | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
222 | CENTRO UNIVERSITÁRIO DE VOTUPORANGA | 4 | Privada | 2 | Privada | SP | 35 | 3557105 | ATIVA
223 | FACULDADE DE EDUCAÇÃO FÍSICA DE SANTO ANDRÉ | 4 | Privada | 2 | Privada | SP | 35 | 3547809 | EXTINTA
224 | FACULDADE DE MEDICINA DO ABC | 4 | Privada | 2 | Privada | SP | 35 | 3547809 | ATIVA
225 | INSTITUTO DE ENSINO SUPERIOR SANTO ANDRÉ | 4 | Privada | 2 | Privada | SP | 35 | 3547809 | ATIVA
226 | CENTRO UNIVERSITÁRIO LUSÍADA | 4 | Privada | 2 | Privada | SP | 35 | 3548500 | ATIVA
227 | UNIVERSIDADE CATÓLICA DE SANTOS | 4 | Privada | 2 | Privada | SP | 35 | 3548500 | ATIVA
228 | FACULDADE DE ENGENHARIA INDUSTRIAL DE SÃO BERNARDO DO CAMPO | 4 | Privada | 2 | Privada | SP | 35 | 3548708 | EXTINTA
229 | ESCOLA SUPERIOR DE ADMINISTRAÇÃO DE NEGÓCIOS DE SÃO BERNARDO DO CAMPO | 4 | Privada | 2 | Privada | SP | 35 | 3548708 | EXTINTA
230 | ESCOLA SUPERIOR DE ADMINISTRAÇÃO DE NEGÓCIOS DE SÃO PAULO | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | EXTINTA
231 | FACULDADE DE SÃO BERNARDO DO CAMPO - FASB | 4 | Privada | 2 | Privada | SP | 35 | 3548708 | ATIVA
234 | FACULDADES OSWALDO CRUZ | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
236 | FACULDADE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS DE SÃO JOÃO DA BOA VISTA | 4 | Privada | 2 | Privada | SP | 35 | 3549102 | EXTINTA
237 | FACULDADE DE DIREITO DE SÃO JOÃO DA BOA VISTA | 4 | Privada | 2 | Privada | SP | 35 | 3549102 | EXTINTA
238 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOÃO DA BOA VISTA | 4 | Privada | 2 | Privada | SP | 35 | 3549102 | EXTINTA
239 | FACULDADE DE MEDICINA VETERINÁRIA OCTÁVIO BASTOS | 4 | Privada | 2 | Privada | SP | 35 | 3549102 | EXTINTA
